Maderuelo - Aranda De Duero;BURGOS;AECL-009;Autocares Víctor Bayo, S.L.;Regular
Oña - Miranda De Ebro;BURGOS;AECL-011;Autobuses Barredo, S.L.;Regular
Borcos - Villadiego;BURGOS;AECL-016;Negrete Bus, S.L.;Regular
Jaramillo Quemado - Salas De Los Infantes;BURGOS;AECL-018;Antonio Crespo Cabrito, S.L.;Regular
Alcubilla De Avellaneda - Peñaranda De Duero;BURGOS;AECL-019;Autocares Patri, S.A.;Regular
Arauzo De Torre - Salas De Los Infantes;BURGOS;AECL-020;Antonio Crespo Cabrito, S.L.;Regular
Neila - Salas De Los Infantes, Por Tolbaños;BURGOS;AECL-020;Antonio Crespo Cabrito, S.L.;Regular
Cabezón De La Sierra - Salas De Los Infantes;BURGOS;AECL-021;Antonio Crespo Cabrito, S.L.;Regular
Castillejo De Robledo - Aranda De Duero;BURGOS;AECL-022;Hijos de Ángel Arribas, S.L.U.;Regular
Castroceniza - Covarrubias;BURGOS;AECL-024;Arlanza Bus, S.L.;Regular
Manzaneda De Torío - León;LEÓN;AECL-035;Empresa Reyero, S.L.;Regular
Robledo De Las Traviesas - Noceda;LEÓN;AECL-038;Autos Pelines, S.A.;Regular
Santa Cecilia Del Alcor - Palencia;PALENCIA;AECL-048;Autocares Calvo e Hijos, S.L.;Regular
Hornillos De Cerrato - Torquemada;PALENCIA;AECL-050;Linecar, S.A.;Regular
Osornillo - Lantadilla;PALENCIA;AECL-053;Joaquín Gómez e Hijos, S.A.;Regular
Montemayor Del Río - Béjar;SALAMANCA;AECL-075;Justo Pérez Gómez;Regular
Pedraja De San Esteban - San Esteban De Gormaz;SORIA;AECL-087;Hijos de Ángel Arribas, S.L.U.;Regular
Soto De San Esteban - San Esteban De Gormaz;SORIA;AECL-087;Hijos de Ángel Arribas, S.L.U.;Regular
Rejas De San Esteban - San Esteban De Gormaz;SORIA;AECL-087;Hijos de Ángel Arribas, S.L.U.;Regular
Fuentecambrón - San Esteban De Gormaz;SORIA;AECL-087;Hijos de Ángel Arribas, S.L.U.;Regular
El Poyo - Alcañices;ZAMORA;AECL-096;Herederos de A. Tamame, S.A.;Regular
Colmenar De Montemayor - Salamanca, Por Molinillo;SALAMANCA;AECL-118;Viagón Autocares, S.L.;Regular
Pinilla Trasmonte - Lerma;BURGOS;TR-003;Arlanza Bus, S.L.;Regular
Villafruela - Lerma;BURGOS;TR-004;Arlanza Bus, S.L.;Regular
La Sequera De Haza - Aranda De Duero;BURGOS;TR-014;Autocares Patri, S.A.;Regular
San Pedro De Olleros - Vega De Espinareda;LEÓN;TR-017;Adelina Fernández Alonso;Regular
Aldearrubia - Salamanca;SALAMANCA;VACL-002;Avanza Movilidad Integral, S. L. U.;Regular
