El Maderal-Fuentesauco;ZAMORA;VACL-014;Zamora - Salamanca, S.A.;Prestación Conjunta
Valleluengo-Camarzana;ZAMORA;VACL-137;Autocares Julio Fernández, S.L.;Prestación Conjunta
Pozoantiguo - Zamora;ZAMORA;VACL-136;Autocares Posadas, S.L.;Prestación Conjunta
Tábara - Zamora;ZAMORA;VACL-144;Empresa Vaquero, S.L.;Prestación Conjunta
Calabor - Puebla De Sanabria;ZAMORA;VACL-150;Autos Álvarez de Viajeros, S.L.;Prestación Conjunta
Fornillos De Fermosellle - Bermillo De Sayago;ZAMORA;VACL-090;Herederos de A. Tamame, S.A.;Prestación Conjunta
Fuentesecas-Toro;ZAMORA;VACL-136;Autocares Posadas, S.L.;Prestación Conjunta
Piedrahita De Campos - Villarrín De Campos;ZAMORA;VACL-140;Castaño e Hijos, S.L.;Prestación Conjunta
Bamba Zamora;ZAMORA;VACL-143;Herederos de A. Tamame, S.A.;Prestación Conjunta
Villalazán - Moraleja Del Vino;ZAMORA;VACL-064;Herederos de A. Tamame, S.A.;Prestación Conjunta
Morales Del Vino-Zamora;ZAMORA;VACL-014;Zamora - Salamanca, S.A.;Prestación Conjunta
Villela - Villadiego;BURGOS;AECL-013;Negrete Bus, S.L.;Regular
San Miguel - Villadiego;BURGOS;AECL-013;Negrete Bus, S.L.;Regular
Villusto - Villadiego;BURGOS;AECL-013;Negrete Bus, S.L.;Regular
Castrecias - Villadiego;BURGOS;AECL-013;Negrete Bus, S.L.;Regular
Bustillo Del Páramo - Villadiego, Por Fuencivil;BURGOS;AECL-013;Negrete Bus, S.L.;Regular
Tórtoles De Esgueva - Peral De Arlanza - Burgos;BURGOS;VACL-004;Autobuses de Castilla, S.L.;Regular
Tórtoles De Esgueva - Burgos;BURGOS;VACL-004;Autobuses de Castilla, S.L.;Regular
Santa María Del Campo - Burgos;BURGOS;VACL-004;Autobuses de Castilla, S.L.;Regular
Burgos - Tordomar;BURGOS;VACL-004;Autobuses de Castilla, S.L.;Regular
Arenillas De Ríopisuerga - Burgos;BURGOS;VACL-004;Autobuses de Castilla, S.L.;Regular
Los Balbases - Burgos;BURGOS;VACL-004;Autobuses de Castilla, S.L.;Regular
Caleruega - Burgos;BURGOS;VACL-007;Autocares Arceredillo, S.L.;Regular
Santillán Del Agua - Burgos, Por Covarrubias;BURGOS;VACL-007;Autocares Arceredillo, S.L.;Regular
Cuevas De San Clemente - Lerma;BURGOS;VACL-007;Autocares Arceredillo, S.L.;Regular
Jaramillo De La Fuente - Burgos;BURGOS;VACL-010;Autocares Arceredillo, S.L.;Regular
Burgos - Salas De Bureba, Por Poza De La Sal, Llanos De Bureba, Rojas;BURGOS;VACL-015;Automóviles Soto y Alonso, S.L.;Regular
Burgos - Salas De Bureba, Por Poza De La Sal, Lences, Rublacedo, Rojas;BURGOS;VACL-015;Automóviles Soto y Alonso, S.L.;Regular
